종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"096770","SK이노베이션","133621","204559","70938","31133158500","47739717000","16606558500"
"009830","한화솔루션","373874","718913","345039","15175404900","29237739500","14062334600"
"010060","OCI","95205","195253","100048","12800696500","26449400500","13648704000"
"010950","S-Oil","160734","245193","84459","19228354000","29370731500","10142377500"
"012330","현대모비스","68962","114221","45259","14916996000","24747115000","9830119000"
"259960","크래프톤","22100","57816","35716","5870358000","15372360000","9502002000"
"329180","현대중공업","31194","84972","53778","4029544000","10979542000","6949998000"
"001120","LX인터내셔널","48637","158578","109941","1954929250","6369456900","4414527650"
"010120","LS ELECTRIC","55545","133740","78195","3020465100","7295168900","4274703800"
"323410","카카오뱅크","119164","197720","78556","4922555100","8202682200","3280127100"
"012450","한화에어로스페이스","48672","99574","50902","2778439500","5690804800","2912365300"
"017960","한국카본","28433","232331","203898","385472300","3206580550","2821108250"
"298040","효성중공업","10786","52041","41255","711842400","3439906700","2728064300"
"112610","씨에스윈드","20319","66338","46019","1184915700","3880988000","2696072300"
"267270","현대건설기계","9462","59406","49944","422987400","2664819400","2241832000"
"336260","두산퓨얼셀","39012","87837","48825","1533630200","3479894300","1946264100"
"267260","현대일렉트릭","25787","100291","74504","636160650","2467689900","1831529250"
"031430","신세계인터내셔날","13351","63975","50624","470479450","2257698150","1787218700"
"267250","HD현대","40667","62544","21877","2579763400","3973626300","1393862900"
"069620","대웅제약","5046","12776","7730","878044000","2231696500","1353652500"
"023530","롯데쇼핑","15756","27316","11560","1664271500","2893758500","1229487000"
"365550","ESR켄달스퀘어리츠","23504","199917","176413","158293550","1350766540","1192472990"
"003030","세아제강지주","391","7328","6937","63768000","1198950500","1135182500"
"003010","혜인","4857","106252","101395","54449450","1188296550","1133847100"
"026890","스틱인베스트먼트","443","126021","125578","3903230","1115387400","1111484170"
"064350","현대로템","59687","112186","52499","1196833250","2263148050","1066314800"
"051600","한전KPS","22470","50137","27667","832098600","1857636450","1025537850"
"004990","롯데지주","19457","46917","27460","698773400","1686189350","987415950"
"018670","SK가스","2765","9840","7075","376985000","1346337000","969352000"
"079550","LIG넥스원","34419","46043","11624","2836620600","3799119600","962499000"
"005300","롯데칠성","10820","15574","4754","2119364000","3061432500","942068500"
"322000","현대에너지솔루션","10075","33074","22999","361878500","1192325850","830447350"
"000210","DL","16160","28240","12080","1101769500","1926596200","824826700"
"361610","SK아이이테크놀로지","28271","35124","6853","3397885000","4217465500","819580500"
"014830","유니드","3584","9879","6295","445995000","1229658000","783663000"
"006260","LS","48243","59114","10871","3292654700","4039374400","746719700"
"009420","한올바이오파마","36353","75136","38783","655433650","1359901800","704468150"
"042700","한미반도체","30451","77652","47201","448665900","1147215250","698549350"
"089590","제주항공","60617","91212","30595","1346597700","2032415550","685817850"
"082740","HSD엔진","6062","81541","75479","54443650","735906520","681462870"
"137310","에스디바이오센서","5610","18899","13289","266907400","893087400","626180000"
"114090","GKL","31897","72089","40192","489204300","1109371900","620167600"
"036420","콘텐트리중앙","24130","36276","12146","1173333000","1787287600","613954600"
"011780","금호석유","18506","22285","3779","2933941500","3535271000","601329500"
"035150","백산","21208","76364","55156","224271450","822198400","597926950"
"042670","현대두산인프라코어","241298","329862","88564","1646617430","2241938340","595320910"
"096775","SK이노베이션우","672","4738","4066","95212000","671005000","575793000"
"103140","풍산","33266","51429","18163","1033855900","1602709250","568853350"
"028670","팬오션","216728","279719","62991","1639759600","2116628020","476868420"
"271940","일진하이솔루스","8242","19290","11048","346635100","806400900","459765800"
"000120","CJ대한통운","14278","17902","3624","1781664500","2237505500","455841000"
"395400","SK리츠","15214","79432","64218","106033900","553397390","447363490"
"011760","현대코퍼레이션","569","22301","21732","11059100","435286800","424227700"
"383800","LX홀딩스","524","41597","41073","5072380","402911790","397839410"
"248070","솔루엠","3277","20610","17333","74546050","469480950","394934900"
"034830","한국토지신탁","43856","240198","196342","86406690","473703935","387297245"
"005070","코스모신소재","45586","52979","7393","2352935900","2738720400","385784500"
"033240","자화전자","14580","27322","12742","415118700","780788550","365669850"
"010690","화신","551","35615","35064","4996950","324579260","319582310"
"025820","이구산업","6","71695","71689","24510","292931235","292906725"
"103590","일진전기","547","37777","37230","3837220","266112060","262274840"
"381970","케이카","3135","13467","10332","76676600","328619250","251942650"
"001570","금양","773","47787","47014","4084720","252138640","248053920"
"192650","드림텍","263","23696","23433","2759900","249016800","246256900"
"357430","마스턴프리미어리츠","34005","74153","40148","203558170","444037020","240478850"
"005850","에스엘","22956","30614","7658","705556500","944164450","238607950"
"000150","두산","11774","14452","2678","990141600","1223873600","233732000"
"001430","세아베스틸지주","561","13230","12669","10017900","236691850","226673950"
"357120","코람코에너지리츠","32635","66883","34248","214720600","440069930","225349330"
"010955","S-Oil우","837","4105","3268","57562300","281283500","223721200"
"003230","삼양식품","8443","10616","2173","788043900","991981500","203937600"
"293940","신한알파리츠","55242","79388","24146","442114680","635511560","193396880"
"100250","진양홀딩스","1251","50001","48750","4944175","197920920","192976745"
"004490","세방전지","6357","9446","3089","392407100","584289300","191882200"
"001940","KISCO홀딩스","519","10081","9562","9096850","178191100","169094250"
"029530","신도리코","304","5324","5020","10005850","175280000","165274150"
"055490","테이팩스","2491","4497","2006","197667300","360969200","163301900"
"006740","영풍제지","375","12949","12574","4660800","164726550","160065750"
"001630","종근당홀딩스","165","2469","2304","10802000","161680200","150878200"
"069960","현대백화점","14357","16216","1859","1143425100","1291561700","148136600"
"241590","화승엔터프라이즈","31110","40190","9080","494497100","641986550","147489450"
"005880","대한해운","36249","81671","45422","113201695","255360160","142158465"
"064960","SNT모티브","17664","20538","2874","851029850","990883400","139853550"
"002320","한진","1034","5633","4599","31151600","169419550","138267950"
"008730","율촌화학","4119","9882","5763","96160300","230754150","134593850"
"002310","아세아제지","2113","5499","3386","82862850","215693900","132831050"
"047050","포스코인터내셔널","92750","98266","5516","2241316800","2373955900","132639100"
"053690","한미글로벌","2273","12079","9806","28757900","154342150","125584250"
"017390","서울가스","6","558","552","1290000","120412500","119122500"
"396690","미래에셋글로벌리츠","51726","70351","18625","326400940","444346330","117945390"
"000500","가온전선","82","4096","4014","2340600","115799800","113459200"
"011210","현대위아","29062","30558","1496","1891489600","1991945000","100455400"
"011930","신성이엔지","116572","160338","43766","295130910","395560520","100429610"
"001040","CJ","11204","12334","1130","947018500","1044488100","97469600"
"006040","동원산업","988","1388","400","233081000","327272000","94191000"
"139130","DGB금융지주","33241","43667","10426","286442100","376293020","89850920"
"082640","동양생명","14275","27977","13702","85075220","167813070","82737850"
"042660","대우조선해양","40178","43563","3385","911605500","994009800","82404300"
"001720","신영증권","2","1410","1408","115200","81196800","81081600"
"126560","현대퓨처넷","688","25548","24860","2127235","79326345","77199110"
"033270","유나이티드제약","1110","3762","2652","30834900","104633300","73798400"
"210980","SK디앤디","4941","7338","2397","151017100","224747100","73730000"
"002220","한일철강","5","15005","15000","23755","71815140","71791385"
"057050","현대홈쇼핑","5002","6201","1199","297773700","369434800","71661100"
"088260","이리츠코크렙","13165","23626","10461","89431320","160636250","71204930"
"002270","롯데푸드","29","242","213","9145000","76338500","67193500"
"003540","대신증권","217","4252","4035","3527400","69716700","66189300"
"010660","화천기계","582","19185","18603","1969695","62885730","60916035"
"034310","NICE","6110","10010","3900","93640200","153541300","59901100"
"078935","GS우","0","1482","1482","0","55241600","55241600"
"005420","코스모화학","306","3555","3249","5243550","59928900","54685350"
"001770","SHD","1953","3310","1357","83306900","137512500","54205600"
"003280","흥아해운","0","17980","17980","0","51835705","51835705"
"012510","더존비즈온","5531","7020","1489","201779500","253366550","51587050"
"007570","일양약품","1053","3040","1987","27143750","78195150","51051400"
"363280","티와이홀딩스","3481","5485","2004","87685800","138098350","50412550"
"023350","한국종합기술","3455","8893","5438","30239160","77639200","47400040"
"004380","삼익THK","281","3426","3145","4216400","51560850","47344450"
"002030","아세아","1521","1866","345","195890500","240771000","44880500"
"000020","동화약품","830","4438","3608","9650300","51746200","42095900"
"001520","동양","1207","31763","30556","1645485","43369680","41724195"
"200880","서연이화","640","5453","4813","5538860","47140270","41601410"
"000880","한화","27519","28941","1422","803576750","845048450","41471700"
"001060","JW중외제약","35","1633","1598","883800","41181800","40298000"
"034120","SBS","11620","12454","834","551116250","590340200","39223950"
"372910","한컴라이프케어","11097","17044","5947","75683430","113733900","38050470"
"036460","한국가스공사","56345","57204","859","2515210850","2552705300","37494450"
"060980","한라홀딩스","158","1068","910","6420600","43469650","37049050"
"008700","아남전자","1415","17030","15615","3310865","40186995","36876130"
"009970","영원무역홀딩스","471","1093","622","27025700","62807000","35781300"
"051630","진양화학","2","8341","8339","8660","35779605","35770945"
"004090","한국석유","328","2468","2140","5227450","39730250","34502800"
"129260","인터지스","5","8714","8709","18690","32509150","32490460"
"00104K","CJ4우(전환)","994","1424","430","73686000","105683800","31997800"
"267290","경동도시가스","55","1235","1180","1389900","31348150","29958250"
"015860","일진홀딩스","4352","8737","4385","29083280","58216000","29132720"
"249420","일동제약","27","707","680","1141650","30027750","28886100"
"000050","경방","228","2108","1880","3342500","31081100","27738600"
"094800","맵스리얼티1","387","5772","5385","1886625","28165515","26278890"
"005180","빙그레","63","559","496","3297400","29379700","26082300"
"007700","F&F홀딩스","459","1583","1124","10487500","36387600","25900100"
"002140","고려산업","93","3542","3449","655350","25037480","24382130"
"029460","케이씨","2691","3791","1100","58943450","83265200","24321750"
"155660","DSR","3","3315","3312","20050","21824520","21804470"
"012610","경인양행","1278","4204","2926","9063920","29991780","20927860"
"000370","한화손해보험","15982","20761","4779","68790780","89057220","20266440"
"015260","에이엔피","4","7242","7238","11090","20006665","19995575"
"117580","대성에너지","144","1472","1328","2069550","21066200","18996650"
"272550","삼양패키징","234","1094","860","5094250","23801550","18707300"
"004360","세방","513","1965","1452","6439200","24564150","18124950"
"181710","NHN","11345","11850","505","358256200","376085800","17829600"
"281820","케이씨텍","274","1118","844","5405000","22115150","16710150"
"095570","AJ네트웍스","891","3187","2296","6167740","22519870","16352130"
"334890","이지스밸류리츠","2945","5500","2555","17936130","33540610","15604480"
"001360","삼성제약","115","3964","3849","449610","15501650","15052040"
"18064K","한진칼우","0","403","403","0","14713850","14713850"
"025620","제이준코스메틱","12","11623","11611","15240","14728140","14712900"
"33626L","두산퓨얼셀2우B","0","895","895","0","14268050","14268050"
"005810","풍산홀딩스","629","1088","459","19334850","33548350","14213500"
"33626K","두산퓨얼셀1우","0","1151","1151","0","14205650","14205650"
"404990","신한서부티엔디리츠","64396","66776","2380","364718750","378121030","13402280"
"003120","일성신약","2","167","165","162200","13563200","13401000"
"293480","하나제약","490","1106","616","9778500","22189900","12411400"
"020120","키다리스튜디오","7","1413","1406","60270","12374960","12314690"
"001725","신영증권우","350","559","209","20131300","32215600","12084300"
"001250","GS글로벌","431","3574","3143","1631375","13438250","11806875"
"37550L","DL이앤씨2우(전환)","0","303","303","0","11705750","11705750"
"145270","케이탑리츠","693","9563","8870","912225","12552345","11640120"
"210540","디와이파워","69","763","694","1051150","11602850","10551700"
"003480","한진중공업홀딩스","1141","3093","1952","5792460","16184470","10392010"
"002700","신일전자","469","4778","4309","1105755","11271070","10165315"
"005305","롯데칠성우","53","177","124","4253900","14404700","10150800"
"017370","우신시스템","89","3034","2945","272790","9298900","9026110"
"006390","한일현대시멘트","7","271","264","208200","8077450","7869250"
"058860","KTis","475","3507","3032","1227850","9048065","7820215"
"417310","코람코더원리츠","2751","3964","1213","17075130","24709200","7634070"
"264900","크라운제과","3","499","496","32150","5316000","5283850"
"001529","동양3우B","0","180","180","0","4905000","4905000"
"012690","모나리자","6","1156","1150","24540","4763510","4738970"
"016880","웅진","62","2488","2426","120550","4748350","4627800"
"100840","SNT에너지","1","235","234","19150","4501250","4482100"
"002210","동성제약","1287","1853","566","10130800","14594340","4463540"
"286940","롯데정보통신","11","161","150","323650","4744200","4420550"
"161000","애경케미칼","80","529","449","757040","5039430","4282390"
"004150","한솔홀딩스","3","1162","1159","10380","4009875","3999495"
"003560","IHQ","21","3315","3294","19887","3142386","3122499"
"097230","HJ중공업","11","410","399","84150","3126840","3042690"
"005870","휴니드","13","308","295","123920","2964860","2840940"
"008110","대동전자","11","304","293","91800","2537760","2445960"
"003555","LG우","0","37","37","0","2371500","2371500"
"012170","아센디오","11409","12575","1166","15540325","17744540","2204215"
"002870","신풍제지","4","1007","1003","8160","2036780","2028620"
"006380","카프로","3298","3796","498","12315885","14195970","1880085"
"025540","한국단자","3149","3164","15","188729900","190251500","1521600"
"030610","교보증권","105","275","170","758830","1991880","1233050"
"084690","대상홀딩스","1197","1308","111","10737740","11707090","969350"
"001510","SK증권","5679","6872","1193","4544604","5505599","960995"
"078000","텔코웨어","0","86","86","0","895100","895100"
"123690","한국화장품","4","98","94","37860","930560","892700"
"004960","한신공영","149","202","53","2141550","2898800","757250"
"102460","이연제약","56","81","25","1592700","2303650","710950"
"016610","DB금융투자","122","229","107","709290","1332330","623040"
"140910","에이리츠","200","263","63","1369680","1781370","411690"
"069730","DSR제강","3","69","66","18170","418670","400500"
"163560","동일고무벨트","4","42","38","32490","343690","311200"
"034590","인천도시가스","2","13","11","55400","362100","306700"
"071090","하이스틸","5","60","55","28030","331610","303580"
"004100","태양금속","6","218","212","7830","287005","279175"
