종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"067160","아프리카TV","9157","37964","28807","992808700","4122426400","3129617700"
"036930","주성엔지니어링","39693","169560","129867","829614550","3549853550","2720239000"
"086390","유니테스트","23183","100736","77553","616325600","2675457300","2059131700"
"106240","파인테크닉스","20914","146042","125128","294130350","2057992250","1763861900"
"215200","메가스터디교육","8936","21128","12192","837929700","1991082200","1153152500"
"100090","삼강엠앤티","25124","72701","47577","572961800","1663728450","1090766650"
"054210","이랜텍","10019","50183","40164","228477300","1137636250","909158950"
"077360","덕산하이메탈","0","101821","101821","0","907368730","907368730"
"263860","지니언스","2081","72733","70652","21125250","723314080","702188830"
"225570","넥슨게임즈","5918","31240","25322","149795750","795772350","645976600"
"306040","에스제이그룹","1705","23269","21564","43968000","598273950","554305950"
"140670","알에스오토메이션","0","28582","28582","0","533844000","533844000"
"189300","인텔리안테크","5179","11101","5922","455047300","974137100","519089800"
"062860","티엘아이","11622","58374","46752","132702150","633769010","501066860"
"083650","비에이치아이","0","83241","83241","0","495194800","495194800"
"950130","엑세스바이오","426","30000","29574","7083200","501100350","494017150"
"095660","네오위즈","23501","44206","20705","535126700","1005313100","470186400"
"023160","태광","941","36288","35347","12437600","482173400","469735800"
"053800","안랩","4239","8569","4330","427366500","864730600","437364100"
"136410","아셈스","1221","31279","30058","17475900","447985250","430509350"
"067990","도이치모터스","3","39365","39362","32400","427722500","427690100"
"389260","대명에너지","386","21403","21017","7685700","425388350","417702650"
"052710","아모텍","3447","17065","13618","103631450","517172050","413540600"
"182400","엔케이맥스","1052","21735","20683","21045200","434243550","413198350"
"041830","인바디","9","14475","14466","245700","398397700","398152000"
"003310","대주산업","43927","113192","69265","226552150","583960460","357408310"
"010170","대한광통신","21019","152963","131944","56310615","401395835","345085220"
"200670","휴메딕스","301","15347","15046","6446600","329707150","323260550"
