종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"006400","삼성SDI","46364","106322","59958","28722435000","66220023000","37497588000"
"011200","HMM","153585","461576","307991","4467391900","13412525650","8945133750"
"259960","크래프톤","16463","50815","34352","4178332000","13025136500","8846804500"
"010060","OCI","16401","73709","57308","1795693000","8084870000","6289177000"
"036570","엔씨소프트","20293","34500","14207","8755222500","14915330000","6160107500"
"017960","한국카본","208224","640867","432643","2840385750","8752715800","5912330050"
"014680","한솔케미칼","4475","28131","23656","1093230000","6922490500","5829260500"
"000080","하이트진로","122518","270673","148155","4648925900","10336462850","5687536950"
"267260","현대일렉트릭","27433","245693","218260","665160850","5914444000","5249283150"
"267270","현대건설기계","21411","134779","113368","871123600","5459568400","4588444800"
"004020","현대제철","122544","227527","104983","5337985800","9924104650","4586118850"
"248070","솔루엠","17383","192826","175443","444618150","4925689600","4481071450"
"010950","S-Oil","63384","102342","38958","6691791500","10830803500","4139012000"
"010120","LS ELECTRIC","12824","93962","81138","643998400","4750060350","4106061950"
"302440","SK바이오사이언스","22101","48426","26325","2968393000","6536324500","3567931500"
"047810","한국항공우주","136024","209137","73113","6387387250","9859825750","3472438500"
"373220","LG에너지솔루션","51884","60196","8312","21281329000","24742363500","3461034500"
"011790","SKC","16031","38157","22126","2476651000","5913112500","3436461500"
"036420","콘텐트리중앙","11107","80997","69890","540984550","3940161550","3399177000"
"093370","후성","79540","247453","167913","1539104150","4814451950","3275347800"
"282330","BGF리테일","7691","24112","16421","1437071500","4531898000","3094826500"
"002900","TYM","397915","1405886","1007971","1148649980","4025398685","2876748705"
"002380","KCC","3764","11485","7721","1319052500","4058726500","2739674000"
"055550","신한지주","306095","367333","61238","12776008400","15363064750","2587056350"
"306200","세아제강","7656","21073","13417","1421922000","3880277000","2458355000"
"000210","DL","30723","65000","34277","2002606800","4270479700","2267872900"
"105630","한세실업","89258","172625","83367","2371499450","4606023300","2234523850"
"051910","LG화학","51811","55783","3972","26926067000","29007834000","2081767000"
"034120","SBS","62283","99945","37662","3296224100","5324323300","2028099200"
"000060","메리츠화재","15891","59049","43158","706558250","2636459550","1929901300"
"005070","코스모신소재","82211","115592","33381","4627409700","6532872400","1905462700"
