종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"090710","휴림로봇","15763974","18138501","2374527","55644621050","64618595915","8973974865"
"247540","에코프로비엠","49477","66284","16807","25039545000","33616263900","8576718900"
"074600","원익QnC","197466","392282","194816","6486568650","13035366550","6548797900"
"053050","지에스이","1283977","1780202","496225","9680024650","13416003200","3735978550"
"112040","위메이드","143337","183713","40376","11471104000","14636408600","3165304600"
"145020","휴젤","31973","52015","20042","4089165800","6617347700","2528181900"
"067310","하나마이크론","37330","174672","137342","680484950","3185217800","2504732850"
"101160","월덱스","63737","151615","87878","1800000550","4277595100","2477594550"
"183300","코미코","23877","66885","43008","1373733900","3794230900","2420497000"
"131970","테스나","38299","84532","46233","1822128900","4014662950","2192534050"
"005290","동진쎄미켐","83182","138169","54987","3252524450","5399178150","2146653700"
"064760","티씨케이","13569","27958","14389","1969971100","4046569600","2076598500"
"215000","골프존","9811","21377","11566","1698442900","3703680100","2005237200"
"131390","원익피앤이","34613","99686","65073","1047267650","3029942050","1982674400"
"035760","CJ ENM","16463","31321","14858","2081880700","3964720400","1882839700"
"078600","대주전자재료","14427","36807","22380","1203954000","3072473000","1868519000"
"289220","자이언트스텝","33795","96394","62599","1003722450","2853738650","1850016200"
"000440","중앙에너비스","62414","111106","48692","2237835600","3975356600","1737521000"
"039030","이오테크닉스","9475","25437","15962","1031841600","2767475200","1735633600"
"101170","우림피티에스","541101","837494","296393","3050338700","4752917440","1702578740"
"049070","인탑스","17540","61543","44003","680084800","2376434550","1696349750"
"104830","원익머트리얼즈","49613","91979","42366","1918254300","3563683950","1645429650"
"095340","ISC","116749","158484","41735","4446580250","6059952250","1613372000"
"330730","스톤브릿지벤처스","49401","242089","192688","397140900","1929043800","1531902900"
"008830","대동기어","354441","468038","113597","3927800460","5400605210","1472804750"
"084370","유진테크","17747","51273","33526","767296100","2223265700","1455969600"
"251120","바이오에프디엔씨","458853","517550","58697","12472532750","13899949950","1427417200"
"014200","광림","3736747","4278636","541889","10119939915","11459290550","1339350635"
"054210","이랜텍","58489","111031","52542","1325557200","2525265650","1199708450"
"140670","알에스오토메이션","113864","179377","65513","2009332100","3164426850","1155094750"
"068240","다원시스","32949","70822","37873","991683000","2130617100","1138934100"
"088290","이원컴포텍","93341","219622","126281","848907100","1954592920","1105685820"
"036710","심텍홀딩스","82802","272949","190147","480077790","1583577870","1103500080"
"078350","한양디지텍","45364","106224","60860","804602200","1871025100","1066422900"
"278280","천보","13019","16662","3643","3628065400","4644567100","1016501700"
"146320","비씨엔씨","25084","66317","41233","589857550","1561908100","972050550"
