종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"000660","SK하이닉스","997902","1362680","364778","108360679500","148215502000","39854822500"
"000270","기아","568013","901162","333149","47312756300","75011716900","27698960600"
"010950","S-Oil","366183","609039","242856","39138127000","65085831500","25947704500"
"373220","LG에너지솔루션","106757","147882","41125","41925365500","57900168000","15974802500"
"034730","SK","45846","87320","41474","11219956500","21287289000","10067332500"
"017670","SK텔레콤","130567","283417","152850","7624617700","16546353500","8921735800"
"282330","BGF리테일","35532","82911","47379","6597163500","15345437500","8748274000"
"078930","GS","109689","272048","162359","5210881750","12921918000","7711036250"
"079550","LIG넥스원","36844","127041","90197","3036061800","10464923500","7428861700"
"028050","삼성엔지니어링","854472","1075521","221049","22306039000","28070110150","5764071150"
"000060","메리츠화재","90832","219085","128253","3728714950","8990915050","5262200100"
"097950","CJ제일제당","36896","49147","12251","14695982000","19475577500","4779595500"
"047810","한국항공우주","159482","257909","98427","7710475600","12457556650","4747081050"
"112610","씨에스윈드","39088","127245","88157","2002359700","6517629000","4515269300"
"375500","DL이앤씨","69139","154878","85739","3589898000","8018787300","4428889300"
"003670","포스코케미칼","104486","140510","36024","13025639500","17453523500","4427884000"
"047050","포스코인터내셔널","110981","279836","168855","2609237950","6565611750","3956373800"
"035420","NAVER","318976","333135","14159","87455882000","91284134500","3828252500"
"052690","한전기술","71624","107800","36176","5940669400","8881874000","2941204600"
"035250","강원랜드","119044","230759","111715","3031398950","5845940450","2814541500"
"033780","KT&G","108961","142110","33149","8981986100","11705545300","2723559200"
"000080","하이트진로","81314","150132","68818","2924761500","5393097000","2468335500"
"005300","롯데칠성","10997","24183","13186","2049923500","4509209500","2459286000"
"030200","KT","317766","386250","68484","11402330100","13843050650","2440720550"
"031430","신세계인터내셔날","112260","187094","74834","3694607450","6128442650","2433835200"
"011780","금호석유","42440","59248","16808","6174893500","8605743000","2430849500"
"005830","DB손해보험","94554","132774","38220","5956469100","8345344300","2388875200"
"000990","DB하이텍","200217","238236","38019","12963707400","15344771300","2381063900"
"249420","일동제약","124279","167975","43696","6013934800","8159243400","2145308600"
"336370","솔루스첨단소재","37310","71614","34304","2367043300","4508754900","2141711600"
