종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"066970","엘앤에프","26001","96585","70584","5730057200","21448992900","15718935700"
"005290","동진쎄미켐","235747","488978","253231","9872860300","20517224350","10644364050"
"247540","에코프로비엠","11534","30394","18860","5461988400","14408821000","8946832600"
"240810","원익IPS","28135","229886","201751","1107237000","9179477150","8072240150"
"091990","셀트리온헬스케어","78633","201936","123303","4710492800","12209039900","7498547100"
"058470","리노공업","7351","40255","32904","1248669400","6952335400","5703666000"
"183300","코미코","8967","79478","70511","548929400","4930028700","4381099300"
"074600","원익QnC","39659","165065","125406","1330617600","5566563150","4235945550"
"263750","펄어비스","47151","108538","61387","2875011600","6637374400","3762362800"
"039030","이오테크닉스","13491","45776","32285","1465994900","5036645500","3570650600"
"064760","티씨케이","4314","25243","20929","618636500","3737862300","3119225800"
"025900","동화기업","26957","65462","38505","2073049800","5173413500","3100363700"
"104830","원익머트리얼즈","11626","77290","65664","457969600","3066996600","2609027000"
"051500","CJ프레시웨이","15028","74610","59582","642833600","3184564950","2541731350"
"100090","삼강엠앤티","49035","166107","117072","996951450","3409428450","2412477000"
"166090","하나머티리얼즈","14574","52547","37973","893987900","3254784700","2360796800"
"319660","피에스케이","4525","48266","43741","209866200","2291176250","2081310050"
"357780","솔브레인","2052","10438","8386","479457600","2503454800","2023997200"
"287410","제이시스메디칼","446360","689281","242921","3680918290","5704319340","2023401050"
"067160","아프리카TV","10292","29180","18888","1046625800","2975637600","1929011800"
"293490","카카오게임즈","95158","127365","32207","5468056800","7341153700","1873096900"
"145020","휴젤","3147","18342","15195","362592100","2168259000","1805666900"
"095610","테스","28037","86439","58402","760107850","2363027650","1602919800"
"028300","HLB","47718","97663","49945","1387168900","2952528000","1565359100"
"298540","더네이쳐홀딩스","12299","58127","45828","410789900","1934235550","1523445650"
"131290","티에스이","8316","26336","18020","651656000","2086689200","1435033200"
"102710","이엔에프테크놀로지","9341","48428","39087","326472100","1725298350","1398826250"
"048260","오스템임플란트","13729","25792","12063","1392839600","2616273800","1223434200"
"098460","고영","23093","92085","68992","395241850","1584173700","1188931850"
"222800","심텍","55637","77295","21658","2764829850","3848522500","1083692650"
"140860","파크시스템스","1850","11552","9702","196506800","1265246500","1068739700"
"085370","루트로닉","28700","76385","47685","633269400","1701186200","1067916800"
"178320","서진시스템","10337","67096","56759","186711850","1245319550","1058607700"
"084370","유진테크","7244","31674","24430","296751100","1324476150","1027725050"
"194480","데브시스터즈","12838","31338","18500","697571900","1716160900","1018589000"
"078600","대주전자재료","9892","22021","12129","799010300","1795888800","996878500"
"290650","엘앤씨바이오","32908","56578","23670","1333161700","2315952750","982791050"
"270520","지엔원에너지","72683","356680","283997","263686840","1229216760","965529920"
"950130","엑세스바이오","0","56922","56922","0","961198800","961198800"
"143240","사람인에이치알","2894","24149","21255","129878100","1085777500","955899400"
"323990","박셀바이오","19857","38803","18946","975290800","1913705950","938415150"
"068760","셀트리온제약","6821","17776","10955","564236500","1495318400","931081900"
"213420","덕산네오룩스","6765","27854","21089","283244950","1177614300","894369350"
"237690","에스티팜","4959","13989","9030","457378700","1309865800","852487100"
"356860","티엘비","2342","21853","19511","102643200","950220950","847577750"
"067310","하나마이크론","853","46730","45877","15465900","846342950","830877050"
"182400","엔케이맥스","4670","42305","37635","96972350","883245500","786273150"
"122870","와이지엔터테인먼트","40744","53671","12927","2276212900","3006934800","730721900"
"048410","현대바이오","16976","40923","23947","509309650","1236640450","727330800"
"306040","에스제이그룹","34924","61783","26859","904164700","1603343200","699178500"
"032500","케이엠더블유","11966","31475","19509","385362800","1039369250","654006450"
"086900","메디톡스","4016","9127","5111","498772000","1148160900","649388900"
"069080","웹젠","17074","48149","31075","344481300","981737250","637255950"
"052400","코나아이","13056","37320","24264","336892100","964807950","627915850"
"007390","네이처셀","18336","54050","35714","308388250","933732350","625344100"
"137400","피엔티","7169","20978","13809","320346850","944018200","623671350"
"034230","파라다이스","48437","85640","37203","734263450","1305465100","571201650"
"282880","코윈테크","10","19064","19054","300000","565988800","565688800"
"086520","에코프로","14843","21322","6479","1251168300","1808290100","557121800"
"038540","상상인","16490","66108","49618","177012650","727481100","550468450"
"067630","HLB생명과학","31884","83312","51428","300062930","818461890","518398960"
"225570","넥슨게임즈","12130","36232","24102","237376350","714065550","476689200"
"084990","헬릭스미스","13444","35803","22359","278983100","754925450","475942350"
"089030","테크윙","3631","26178","22547","75241600","547400150","472158550"
"095700","제넥신","8029","21205","13176","271949150","735588400","463639250"
"085660","차바이오텍","15947","42377","26430","270458150","730273700","459815550"
"121600","나노신소재","4661","11381","6720","317113800","776916400","459802600"
"140410","메지온","10288","33725","23437","184237900","613824150","429586250"
"030190","NICE평가정보","14084","38256","24172","240504600","670037500","429532900"
"036930","주성엔지니어링","59194","78933","19739","1267264850","1694647950","427383100"
"064550","바이오니아","8998","22964","13966","252291850","657909900","405618050"
"084850","아이티엠반도체","5431","17016","11585","183999250","582606250","398607000"
"222080","씨아이에스","37713","65235","27522","519695150","909653100","389957950"
"222160","바이옵트로","0","40400","40400","0","382649390","382649390"
"090460","비에이치","32441","46801","14360","857292400","1239724350","382431950"
"025980","아난티","23523","71422","47899","183785930","563213920","379427990"
"200130","콜마비앤에이치","11894","23904","12010","365669400","740674350","375004950"
"376980","원티드랩","2461","15096","12635","72674150","445061450","372387300"
"033290","코웰패션","11647","64615","52968","81105720","451927730","370822010"
