종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"000270","기아","620891","1097485","476594","52963601000","93595311100","40631710100"
"336260","두산퓨얼셀","222639","622405","399766","8639100450","24123394700","15484294250"
"302440","SK바이오사이언스","64985","159492","94507","8024556500","19694968500","11670412000"
"010950","S-Oil","204438","308890","104452","21554337000","32568928500","11014591500"
"329180","현대중공업","52869","139719","86850","6713583000","17547634500","10834051500"
"051910","LG화학","111602","130157","18555","57161009500","66539882500","9378873000"
"017670","SK텔레콤","217010","363434","146424","12832627600","21508588700","8675961100"
"011200","HMM","1046654","1294365","247711","30847221650","38143446550","7296224900"
"069960","현대백화점","34023","122813","88790","2628779600","9502387200","6873607600"
"051900","LG생활건강","20005","27691","7686","16196249000","22455621000","6259372000"
"023530","롯데쇼핑","21137","83902","62765","2046272500","8105812500","6059540000"
"047810","한국항공우주","210301","333831","123530","9823433350","15490362950","5666929600"
"078930","GS","93314","210924","117610","4354363650","9778022800","5423659150"
"035720","카카오","399978","462335","62357","33956592200","39180230200","5223638000"
"001120","LX인터내셔널","103398","217344","113946","3833085050","8069298550","4236213500"
"004170","신세계","35442","50298","14856","8939594000","12716576500","3776982500"
"086280","현대글로비스","55187","73189","18002","11347274000","15036363500","3689089500"
"005380","현대차","133676","153512","19836","24350219000","27949366000","3599147000"
"035420","NAVER","204812","216457","11645","56704530500","59928873500","3224343000"
"028670","팬오션","1965006","2427653","462647","14065892220","17287393260","3221501040"
"282330","BGF리테일","50779","66559","15780","9732340000","12755304500","3022964500"
"316140","우리금융지주","825654","1020745","195091","12139432500","15009271400","2869838900"
"285130","SK케미칼","31429","54171","22742","3725776500","6432825500","2707049000"
"001790","대한제당","569730","1122519","552789","2598362830","5150618210","2552255380"
"353200","대덕전자","160333","240728","80395","4948829050","7444572100","2495743050"
"306200","세아제강","10852","26213","15361","1766184500","4197954000","2431769500"
"088350","한화생명","1514178","2459199","945021","3917567680","6303973760","2386406080"
"402340","SK스퀘어","217311","263464","46153","9757519400","11815561850","2058042450"
"006360","GS건설","137802","188378","50576","5386157750","7344850600","1958692850"
"018880","한온시스템","491514","660921","169407","5298750200","7146536050","1847785850"
"036460","한국가스공사","114523","157090","42567","4905473700","6717413900","1811940200"
"361610","SK아이이테크놀로지","41032","54114","13082","4690755500","6178945000","1488189500"
"005880","대한해운","2445074","2996579","551505","7215460310","8692643695","1477183385"
"138040","메리츠금융지주","161034","209176","48142","5124869050","6561743300","1436874250"
"005690","파미셀","100473","214484","114011","1262851750","2699052300","1436200550"
"000060","메리츠화재","135931","175067","39136","5175231700","6584905600","1409673900"
"137310","에스디바이오센서","84864","113346","28482","4036243700","5386660400","1350416700"
"052690","한전기술","83741","101311","17570","6534840500","7876646100","1341805600"
"271940","일진하이솔루스","12996","45420","32424","524678850","1825264950","1300586100"
"001450","현대해상","335461","374406","38945","9978924750","11149072950","1170148200"
"251270","넷마블","37000","50207","13207","3265202400","4430492500","1165290100"
"011170","롯데케미칼","38052","44089","6037","7212854500","8367784500","1154930000"
"004770","써니전자","344281","675813","331532","1168992995","2293262845","1124269850"
"032350","롯데관광개발","78355","151004","72649","1194288500","2302559950","1108271450"
"002150","도화엔지니어링","222333","309689","87356","2630786850","3637661900","1006875050"
"008040","사조동아원","958785","1474132","515347","1871413825","2877292725","1005878900"
"047050","포스코인터내셔널","120788","163251","42463","2799026150","3765079950","966053800"
"006650","대한유화","12766","19477","6711","1838453500","2800464500","962011000"
"018670","SK가스","10424","17273","6849","1277262500","2123700500","846438000"
"005830","DB손해보험","132097","145657","13560","8111844400","8941499700","829655300"
"093370","후성","226279","269863","43584","4291488600","5092416200","800927600"
"002870","신풍제지","912011","1250190","338179","2142243440","2902977105","760733665"
"001250","GS글로벌","1150488","1330894","180406","4733983020","5426550515","692567495"
"012750","에스원","30191","40177","9986","2083004800","2765453400","682448600"
"019170","신풍제약","70590","92154","21564","2011281800","2628322950","617041150"
"025860","남해화학","232049","279648","47599","2995385650","3603422750","608037100"
"000990","DB하이텍","110962","120084","9122","7476663000","8072100500","595437500"
"092220","KEC","255546","432683","177137","822285700","1395543835","573258135"
"010820","퍼스텍","459980","594150","134170","2127880010","2700192410","572312400"
"000120","CJ대한통운","69133","73703","4570","8719982000","9282219500","562237500"
"009450","경동나비엔","10587","22173","11586","511870450","1071160150","559289700"
"007540","샘표","8639","17584","8945","537042700","1095040400","557997700"
"009460","한창제지","137282","393372","256090","298294990","853970690","555675700"
