종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"005930","삼성전자","4844859","8536861","3692002","320399941700","564850544400","244450602700"
"000660","SK하이닉스","1752200","2759164","1006964","195393789000","307693876500","112300087500"
"006400","삼성SDI","30200","92251","62051","17689333000","53857036000","36167703000"
"035420","NAVER","81151","195529","114378","22091914000","53284975500","31193061500"
"036570","엔씨소프트","96341","156073","59732","42384091500","68708656000","26324564500"
"005380","현대차","317283","450957","133674","58884733500","83686181000","24801447500"
"051910","LG화학","52953","90907","37954","26800055500","46028076000","19228020500"
"373220","LG에너지솔루션","34288","82524","48236","13622440500","32824942500","19202502000"
"011200","HMM","126955","663173","536218","3912878850","20485166950","16572288100"
"009150","삼성전기","69111","173269","104158","10991762500","27554064000","16562301500"
"028260","삼성물산","42390","179325","136935","4853192000","20532855000","15679663000"
"017670","SK텔레콤","185745","429177","243432","11385928300","26235464000","14849535700"
"090430","아모레퍼시픽","19895","102327","82432","3280548000","16856123000","13575575000"
"055550","신한지주","260922","573823","312901","10953943300","24141165350","13187222050"
"105560","KB금융","175215","402349","227134","10148199100","23322931400","13174732300"
"096770","SK이노베이션","32375","95520","63145","6572843000","19421504500","12848661500"
"035720","카카오","313063","457192","144129","25442761000","37148791800","11706030800"
"005490","POSCO홀딩스","50722","91911","41189","14142680500","25634304500","11491624000"
"012330","현대모비스","40869","97086","56217","8108574000","19284370500","11175796500"
"003670","포스코케미칼","24089","106211","82122","3047797000","13456891000","10409094000"
"030200","KT","328645","578396","249751","12185129300","21474344450","9289215150"
"015760","한국전력","182331","563906","381575","4096867050","12704537600","8607670550"
"028670","팬오션","827833","1890862","1063029","6434684900","14885989940","8451305040"
"023530","롯데쇼핑","9301","82020","72719","938100900","8340876000","7402775100"
"161390","한국타이어앤테크놀로지","25927","228657","202730","930637050","8217427900","7286790850"
"383220","F&F","10234","67635","57401","1292022000","8542600500","7250578500"
"271560","오리온","6994","82691","75697","646125000","7657529100","7011404100"
"011070","LG이노텍","30350","50599","20249","10172060500","16970271500","6798211000"
"003490","대한항공","124320","344090","219770","3591685850","9940778400","6349092550"
"034730","SK","31269","57017","25748","7610500000","13902496000","6291996000"
"005935","삼성전자우","14817","119588","104771","859529100","6931535000","6072005900"
"014680","한솔케미칼","5155","30217","25062","1242856500","7310389000","6067532500"
"032830","삼성생명","46688","137797","91109","3031599600","8960586800","5928987200"
"004990","롯데지주","4296","168310","164014","147899100","5802193350","5654294250"
"086790","하나금융지주","183318","306830","123512","8340283350","13939623600","5599340250"
"316140","우리금융지주","270029","608194","338165","4204426450","9473749500","5269323050"
"031430","신세계인터내셔날","28138","177575","149437","954167800","6023879050","5069711250"
"033780","KT&G","92364","153262","60898","7670291400","12731416000","5061124600"
"010620","현대미포조선","29314","87313","57999","2432753800","7246139900","4813386100"
"018260","삼성에스디에스","24637","57770","33133","3536573500","8315381000","4778807500"
"039490","키움증권","6727","59524","52797","578905000","5128903800","4549998800"
"066570","LG전자","134921","175791","40870","14540600500","18952528000","4411927500"
"006360","GS건설","99967","209307","109340","3944371800","8283539450","4339167650"
"016360","삼성증권","28462","142450","113988","1076636800","5406517950","4329881150"
"024110","기업은행","29578","394271","364693","329349600","4390092550","4060742950"
"035250","강원랜드","259546","405213","145667","7173549000","11142681900","3969132900"
"323410","카카오뱅크","50994","151986","100992","1941076550","5798170500","3857093950"
"005830","DB손해보험","39519","99022","59503","2526024800","6343940100","3817915300"
"000990","DB하이텍","61299","114053","52754","4239953400","7924751500","3684798100"
"034220","LG디스플레이","272863","478042","205179","4710559400","8264193350","3553633950"
"009830","한화솔루션","59166","170266","111100","1805141500","5196454400","3391312900"
"003550","LG","46061","89508","43447","3396285500","6596358100","3200072600"
"010130","고려아연","4658","10551","5893","2519961000","5710536000","3190575000"
"078930","GS","64169","128333","64164","3046501600","6101687850","3055186250"
"204320","만도","34909","90663","55754","1893721300","4939437800","3045716500"
"000060","메리츠화재","110550","190100","79550","4019013400","6915561600","2896548200"
"021240","코웨이","29275","69937","40662","2066791300","4942264400","2875473100"
"000120","CJ대한통운","20437","42286","21849","2670641500","5544086000","2873444500"
"120110","코오롱인더","9018","53156","44138","581385200","3429492200","2848107000"
"028050","삼성엔지니어링","129435","234547","105112","3382704050","6153045150","2770341100"
"011790","SKC","15151","34270","19119","2167344500","4903828000","2736483500"
"000810","삼성화재","27832","40216","12384","5654083000","8189957500","2535874500"
"137310","에스디바이오센서","4833","55812","50979","228158550","2654982250","2426823700"
"086280","현대글로비스","18300","29512","11212","3825868500","6184001000","2358132500"
"047050","포스코인터내셔널","34835","132530","97695","820689450","3133958900","2313269450"
"011210","현대위아","33821","68398","34577","2235970100","4518830000","2282859900"
"375500","DL이앤씨","11318","54534","43216","588476400","2844991200","2256514800"
"079160","CJ CGV","16486","102897","86411","420809800","2639316800","2218507000"
"018880","한온시스템","46908","242071","195163","525833900","2709125050","2183291150"
"138930","BNK금융지주","72491","356478","283987","552202450","2719005490","2166803040"
"361610","SK아이이테크놀로지","9975","28435","18460","1147635500","3286069000","2138433500"
"010140","삼성중공업","101147","479273","378126","570429080","2701423360","2130994280"
"377300","카카오페이","27478","52082","24604","2357760700","4470543000","2112782300"
"285130","SK케미칼","9736","26232","16496","1221597000","3305772500","2084175500"
"006800","미래에셋증권","100791","368723","267932","781091620","2860990720","2079899100"
"036460","한국가스공사","31796","78122","46326","1404018200","3440783900","2036765700"
"365550","ESR켄달스퀘어리츠","41837","339121","297284","287312900","2309812170","2022499270"
"002380","KCC","3415","9274","5859","1159890000","3151978000","1992088000"
"326030","SK바이오팜","6990","29712","22722","596888100","2532002700","1935114600"
"005387","현대차2우B","14876","34565","19689","1382167000","3213793500","1831626500"
"128940","한미약품","2416","8488","6072","712997000","2509140500","1796143500"
"005940","NH투자증권","27819","203207","175388","282799600","2068194500","1785394900"
"006260","LS","26730","55018","28288","1592944400","3286768200","1693823800"
"093370","후성","127039","214665","87626","2419402800","4103394250","1683991450"
"307950","현대오토에버","1267","13845","12578","166016000","1820216000","1654200000"
"145720","덴티움","7703","30948","23245","543630200","2192457600","1648827400"
"282330","BGF리테일","6319","14414","8095","1240635000","2835117000","1594482000"
"004020","현대제철","88667","127737","39070","3574655450","5151814000","1577158550"
"302440","SK바이오사이언스","18625","31378","12753","2276063500","3844553000","1568489500"
"005070","코스모신소재","16703","47911","31208","823556500","2381405800","1557849300"
"002900","TYM","270697","699727","429030","913997525","2429411415","1515413890"
"097950","CJ제일제당","3412","7124","3712","1381825000","2888237000","1506412000"
"069260","TKG휴켐스","47558","112334","64776","1107465750","2612435600","1504969850"
"180640","한진칼","5545","31370","25825","308220800","1741897900","1433677100"
"000100","유한양행","18027","42705","24678","1042373600","2469695800","1427322200"
"267260","현대일렉트릭","5472","63811","58339","132832150","1553266100","1420433950"
"001440","대한전선","157549","823425","665876","318514910","1666404290","1347889380"
"114090","GKL","8389","100456","92067","119621200","1445204200","1325583000"
"003230","삼양식품","580","14386","13806","54331300","1349260100","1294928800"
"088980","맥쿼리인프라","193779","283653","89874","2695477800","3948706050","1253228250"
"047810","한국항공우주","97705","122304","24599","4577191250","5738627950","1161436700"
"030000","제일기획","96372","140942","44570","2440088400","3579379700","1139291300"
"012750","에스원","5009","21375","16366","347376300","1483952700","1136576400"
"293940","신한알파리츠","65851","212689","146838","507264060","1639587880","1132323820"
"007660","이수페타시스","207343","357751","150408","1516172810","2616947380","1100774570"
"001530","DI동일","16580","58986","42406","413855200","1474335200","1060480000"
"071050","한국금융지주","47900","62275","14375","3234377900","4215193500","980815600"
"000880","한화","13983","47013","33030","394751750","1331442900","936691150"
"034120","SBS","24197","43042","18845","1218404500","2152336350","933931850"
"020000","한섬","12201","35977","23776","473602250","1402465200","928862950"
"005690","파미셀","7054","77782","70728","92120050","1019552500","927432450"
"001040","CJ","3889","14893","11004","327168900","1254028800","926859900"
"042670","현대두산인프라코어","29021","175856","146835","182552580","1108360460","925807880"
"009240","한샘","13478","27011","13533","903862700","1823396200","919533500"
"111770","영원무역","9525","29707","20182","427546150","1335153700","907607550"
"353200","대덕전자","19592","47847","28255","607313100","1489659700","882346600"
"029780","삼성카드","13991","40620","26629","462046400","1342622550","880576150"
"064960","SNT모티브","863","19817","18954","38698300","889253000","850554700"
"007070","GS리테일","39861","72244","32383","1039509350","1888793300","849283950"
"047040","대우건설","34091","170958","136867","210930200","1059418320","848488120"
"259960","크래프톤","107566","109980","2414","27036536500","27855379000","818842500"
"402340","SK스퀘어","67283","85584","18301","2978638600","3789083600","810445000"
"267250","HD현대","33123","46412","13289","1943456500","2723859100","780402600"
"267270","현대건설기계","10692","29537","18845","424329600","1194406850","770077250"
"012450","한화에어로스페이스","23948","38314","14366","1258710400","2018337900","759627500"
"014820","동원시스템즈","835","13889","13054","46927000","786585200","739658200"
"000370","한화손해보험","56550","207511","150961","273022265","1004487825","731465560"
"069960","현대백화점","23652","32088","8436","1849395100","2511818600","662423500"
"298020","효성티앤씨","426","2169","1743","158494000","805967500","647473500"
"042660","대우조선해양","6622","33126","26504","158978450","794828150","635849700"
"004490","세방전지","2037","11245","9208","139770300","772769300","632999000"
"051600","한전KPS","20819","38012","17193","760809850","1389981650","629171800"
"192080","더블유게임즈","1506","15996","14490","64849450","689100600","624251150"
"009900","명신산업","14517","43872","29355","305110650","927024000","621913350"
"002790","아모레G","31584","45552","13968","1404757150","2026045800","621288650"
"011780","금호석유","12759","16911","4152","1887139000","2502216000","615077000"
"088350","한화생명","156692","396990","240298","397386120","1008234850","610848730"
"214320","이노션","2697","14381","11684","138014700","737198000","599183300"
"294870","HDC현대산업개발","7785","51322","43537","105406700","699766750","594360050"
"001800","오리온홀딩스","4865","46164","41299","67930650","650561200","582630550"
"008930","한미사이언스","7203","20068","12865","321528000","896057650","574529650"
"103140","풍산","5258","24228","18970","155063850","715904500","560840650"
"272210","한화시스템","31506","67930","36424","475154800","1032137950","556983150"
"018670","SK가스","715","5073","4358","90660000","645771000","555111000"
"298050","효성첨단소재","759","1957","1198","345063000","890021000","544958000"
"001230","동국제강","29424","59896","30472","523260900","1065932250","542671350"
"035150","백산","3503","47888","44385","41823700","572932500","531108800"
"001720","신영증권","398","9422","9024","22587000","537048700","514461700"
"139130","DGB금융지주","94963","155085","60122","809623180","1322840290","513217110"
"017800","현대엘리베이","11617","26524","14907","397465500","907711200","510245700"
"003090","대웅","3564","21126","17562","101981450","602412350","500430900"
"064350","현대로템","27517","54348","26831","496840200","982656700","485816500"
"000210","DL","4498","11975","7477","284306000","758113500","473807500"
"348950","제이알글로벌리츠","34087","117061","82974","191656770","658154290","466497520"
