종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"028300","HLB","35820","525750","489930","1408280000","21793485100","20385205100"
"046110","한일네트웍스","10385","1630677","1620292","123581500","19338597450","19215015950"
"066970","엘앤에프","18163","82194","64031","4039996200","18157348700","14117352500"
"222800","심텍","23105","158992","135887","1165491750","8016126450","6850634700"
"240810","원익IPS","13214","160881","147667","534433400","6541847150","6007413750"
"058470","리노공업","943","27180","26237","161439900","4666141700","4504701800"
"183300","코미코","3290","60663","57373","202019200","3756651000","3554631800"
"036930","주성엔지니어링","47366","202489","155123","1035519100","4463850100","3428331000"
"025900","동화기업","7404","46665","39261","620898600","3935971600","3315073000"
"084370","유진테크","10995","84877","73882","466720600","3610386500","3143665900"
"131970","테스나","16020","75757","59737","729612600","3482854550","2753241950"
"005290","동진쎄미켐","81854","144012","62158","3454771100","6098967700","2644196600"
"213420","덕산네오룩스","8613","66903","58290","370260150","2881037650","2510777500"
"034230","파라다이스","38243","201302","163059","579613700","3067754450","2488140750"
"067160","아프리카TV","9045","32473","23428","897674300","3246936800","2349262500"
"357780","솔브레인","451","9403","8952","107672000","2259927100","2152255100"
"196170","알테오젠","9665","48872","39207","466406350","2373329250","1906922900"
"230240","에치에프알","2888","58335","55447","97993150","1998778100","1900784950"
"137400","피엔티","1468","41940","40472","65675200","1883653650","1817978450"
"108320","LX세미콘","5597","19757","14160","690652600","2433739400","1743086800"
"095340","ISC","9064","55562","46498","336113250","2070725650","1734612400"
"104830","원익머트리얼즈","2947","42178","39231","118235750","1707732150","1589496400"
"290650","엘앤씨바이오","15513","52423","36910","656339700","2225126650","1568786950"
"041510","에스엠","47991","73885","25894","2883905100","4451798300","1567893200"
"253450","스튜디오드래곤","22752","41548","18796","1801356200","3299372700","1498016500"
"035900","JYP Ent.","42195","69165","26970","2311331000","3799582100","1488251100"
"319660","피에스케이","7753","37499","29746","369054950","1790517750","1421462800"
"215200","메가스터디교육","5419","20271","14852","487419600","1826205700","1338786100"
"054450","텔레칩스","6903","80870","73967","121723850","1418275600","1296551750"
"074600","원익QnC","17673","54214","36541","601998800","1852786200","1250787400"
"095610","테스","2993","48792","45799","81051150","1321906400","1240855250"
"287410","제이시스메디칼","18935","164300","145365","158636050","1391615280","1232979230"
