종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"066970","엘앤에프","112024","164591","52567","21664695400","31866965200","10202269800"
"222800","심텍","226467","350203","123736","11893962200","18387031000","6493068800"
"006910","보성파워텍","2731748","3964544","1232796","13698727185","20133762355","6435035170"
"091990","셀트리온헬스케어","145190","240880","95690","9115300600","15172526600","6057226000"
"041510","에스엠","158850","238412","79562","11727089500","17653151300","5926061800"
"063080","컴투스홀딩스","48174","81717","33543","6418859100","10906239400","4487380300"
"068760","셀트리온제약","16745","54128","37383","1459727200","4696361400","3236634200"
"096530","씨젠","296059","356970","60911","14957376750","18120900700","3163523950"
"048410","현대바이오","284657","377807","93150","9067423000","12015208250","2947785250"
"122870","와이지엔터테인먼트","68826","112692","43866","4486800100","7366688100","2879888000"
"036930","주성엔지니어링","677805","772430","94625","17385389000","19899580300","2514191300"
"067000","조이시티","906516","1194127","287611","8544190220","11050861860","2506671640"
"121800","비덴트","160273","296807","136534","2528915450","4676300500","2147385050"
"064260","다날","268088","484007","215919","2643009940","4763958440","2120948500"
"311390","네오크레마","37573","132407","94834","833067400","2930246000","2097178600"
"100790","미래에셋벤처투자","58169","245096","186927","606591150","2555650550","1949059400"
"078600","대주전자재료","26930","47790","20860","2381642700","4241451800","1859809100"
"085370","루트로닉","33186","119320","86134","694424250","2497914550","1803490300"
"289220","자이언트스텝","27960","68570","40610","1228376300","2996046550","1767670250"
"069080","웹젠","22887","90544","67657","517051600","2060915000","1543863400"
"253450","스튜디오드래곤","11272","29401","18129","958852500","2498128500","1539276000"
"196170","알테오젠","45209","72441","27232","2373085000","3810798200","1437713200"
"243840","신흥에스이씨","6019","31273","25254","322798300","1666010200","1343211900"
"299900","위지윅스튜디오","41259","78892","37633","1460423450","2802063250","1341639800"
"028300","HLB","442475","484338","41863","13744461350","15036964900","1292503550"
"081150","티플랙스","1521442","1793548","272106","7476264910","8763923695","1287658785"
"067630","HLB생명과학","53681","174361","120680","569774100","1853029050","1283254950"
"092040","아미코젠","14333","61508","47175","359942900","1551767550","1191824650"
"025980","아난티","101235","226897","125662","933816310","2090823500","1157007190"
"183490","엔지켐생명과학","37554","73152","35598","1205463000","2352471050","1147008050"
"058630","엠게임","135453","250413","114960","1259888350","2332485580","1072597230"
"056190","에스에프에이","50428","78017","27589","1924656150","2972012350","1047356200"
"094480","갤럭시아머니트리","37870","145549","107679","365847970","1409285480","1043437510"
"149980","하이로닉","284043","384755","100712","2956586370","3958274380","1001688010"
"078340","컴투스","33189","41096","7907","3639131600","4507833500","868701900"
"047820","초록뱀미디어","277166","618849","341683","695683595","1555525975","859842380"
"094850","참좋은여행","31140","88616","57476","464598700","1321219150","856620450"
"195940","HK이노엔","11845","31389","19544","502907850","1338599350","835691500"
"104620","노랑풍선","44972","93872","48900","713267650","1502431700","789164050"
"377030","맥스트","10234","28936","18702","431882700","1213474550","781591850"
"256840","한국비엔씨","238641","285054","46413","3666114200","4416384100","750269900"
"299660","셀리드","12938","35724","22786","415310150","1164902600","749592450"
"078130","국일제지","64303","264892","200589","238298205","981164270","742866065"
"222080","씨아이에스","177563","230623","53060","2395418050","3128427150","733009100"
"032280","삼일","35147","306111","270964","92720140","806437825","713717685"
"278280","천보","19843","22355","2512","5598851200","6311092600","712241400"
"019990","에너토크","566583","615426","48843","8796462750","9504703100","708240350"
"235980","메드팩토","19571","39730","20159","661590400","1362301150","700710750"
"215100","로보로보","966836","1030053","63217","10326639750","10998544400","671904650"
"053610","프로텍","9309","32116","22807","274208450","942013300","667804850"
"060560","홈센타홀딩스","87724","622806","535082","109304515","775368690","666064175"
"052600","한네트","42694","124477","81783","344212130","1001488830","657276700"
"230240","에치에프알","84727","107585","22858","2481046200","3133081250","652035050"
"318020","포인트모바일","21160","54831","33671","403956850","1047089350","643132500"
"121600","나노신소재","17064","28956","11892","919670300","1558193900","638523600"
"099320","쎄트렉아이","16919","32097","15178","702212600","1332132550","629919950"
"084650","랩지노믹스","21893","49536","27643","488711350","1110101300","621389950"
"086980","쇼박스","109488","233218","123730","543669690","1152037935","608368245"
"007390","네이처셀","121102","157278","36176","1907891450","2490964200","583072750"
"131290","티에스이","6988","15700","8712","438443000","985227300","546784300"
"100090","삼강엠앤티","34852","63897","29045","629865600","1158896150","529030550"
"185490","아이진","15816","58922","43106","190637000","714139650","523502650"
"051490","나라엠앤디","9965","68816","58851","86555190","599509350","512954160"
"274090","켄코아에어로스페이스","17050","56754","39704","217990050","721424400","503434350"
"357880","비트나인","29214","61799","32585","451570950","953601750","502030800"
"228670","레이","10923","33135","22212","237323350","720488600","483165250"
"950220","네오이뮨텍(Reg.S)","10438","86555","76117","65920670","548971670","483051000"
"014200","광림","59736","323071","263335","108551895","588492915","479941020"
"033640","네패스","26190","43136","16946","738101850","1216324000","478222150"
"376290","씨유테크","49767","117977","68210","353176460","828380800","475204340"
"307750","국전약품","28271","87873","59602","220492440","686065450","465573010"
"241690","유니테크노","26087","78537","52450","223108190","683350820","460242630"
"246710","티앤알바이오팹","5349","18323","12974","187933450","643879250","455945800"
"376300","디어유","24684","35240","10556","1088626650","1543894450","455267800"
"114450","KPX생명과학","17668","91134","73466","108167530","557689090","449521560"
"032500","케이엠더블유","17767","32092","14325","547046200","990886700","443840500"
"128540","에코캡","230584","276120","45536","2312523650","2741890570","429366920"
"192250","케이사인","117929","293588","175659","283343680","705420910","422077230"
"026150","특수건설","23173","64021","40848","238860850","656226200","417365350"
"225590","패션플랫폼","68168","283898","215730","132725655","548906155","416180500"
"044480","블루베리 NFT","101120","201517","100397","420486955","835620200","415133245"
"227950","엔투텍","221762","438614","216852","414229945","827168250","412938305"
"038620","위즈코프","115689","371604","255915","185102445","594628900","409526455"
"043910","자연과환경","151433","482826","331393","185124480","592580400","407455920"
"095500","미래나노텍","172735","227197","54462","1319011250","1726047750","407036500"
"065660","안트로젠","8378","24376","15998","210433450","612254250","401820800"
"078890","가온미디어","11492","43508","32016","141436550","535935400","394498850"
"258830","세종메디칼","327266","416906","89640","1441663805","1835849335","394185530"
"032300","한국파마","5691","17111","11420","195461150","587992200","392531050"
"101730","위메이드맥스","164896","177575","12679","4694368300","5085260350","390892050"
"067990","도이치모터스","71125","117372","46247","586821110","969109780","382288670"
"089150","케이씨티","27244","86896","59652","175133610","556817780","381684170"
"100130","동국S&C","150018","213602","63584","913098160","1294303240","381205080"
"044060","조광ILI","9135","54759","45624","75545750","454309660","378763910"
"018000","유니슨","137195","281664","144469","363109630","739942415","376832785"
"131370","알서포트","42643","104007","61364","257057300","629567040","372509740"
"104480","티케이케미칼","181997","250084","68087","987387090","1349818510","362431420"
"039200","오스코텍","29289","41402","12113","873431850","1233993200","360561350"
"245620","EDGC","678962","771914","92952","2832861275","3191230815","358369540"
"057540","옴니시스템","21303","193140","171837","43573405","396620125","353046720"
"027710","팜스토리","2061352","2214319","152967","5711315840","6057097820","345781980"
"215000","골프존","9525","11812","2287","1426563300","1772067400","345504100"
"083790","크리스탈지노믹스","7067","67950","60883","40325040","385404990","345079950"
"195990","에이비프로바이오","39617","506860","467243","28789628","369927516","341137888"
"189330","씨이랩","2486","17338","14852","57161200","397049800","339888600"
"294570","쿠콘","10969","17896","6927","542343500","879749250","337405750"
"140520","대창스틸","248600","337866","89266","921870035","1258324595","336454560"
"099220","SDN","239666","407972","168306","466124475","790479715","324355240"
"039840","디오","13741","23715","9974","443513150","766963250","323450100"
"289080","SV인베스트먼트","23491","111440","87949","83627150","397248200","313621050"
"147830","제룡산업","30207","117382","87175","108145165","421275610","313130445"
"032860","휴먼엔","79969","164467","84498","312270450","624685830","312415380"
"330350","위더스제약","1361","32305","30944","13439020","323502700","310063680"
"382800","지앤비에스엔지니어링","12487","28458","15971","239375000","546765500","307390500"
"053950","경남제약","741714","826006","84292","3106513940","3412977015","306463075"
"160550","NEW","34505","63281","28776","367566300","671028900","303462600"
"051500","CJ프레시웨이","7409","15296","7887","280786450","579710150","298923700"
"171090","선익시스템","3860","21679","17819","64788050","363620600","298832550"
"101360","이엔드디","3944","17302","13358","87536600","385356800","297820200"
"308080","바이젠셀","2892","14626","11734","72657200","369246400","296589200"
"050890","쏠리드","31775","79772","47997","197043120","489701520","292658400"
"043220","에이치엘비파워","43624","228828","185204","67665920","357159010","289493090"
"095700","제넥신","16761","23004","6243","765143850","1054133200","288989350"
"141080","레고켐바이오","27249","33874","6625","1175343050","1459846600","284503550"
"067290","JW신약","55889","122458","66569","239543165","522950095","283406930"
"059120","아진엑스텍","49967","72974","23007","615934750","897388300","281453550"
"086890","이수앱지스","12442","56065","43623","81077710","361712260","280634550"
"082660","코스나인","58896","296358","237462","68783055","348184940","279401885"
"033160","엠케이전자","13577","32235","18658","202632200","480845800","278213600"
"216080","제테마","3231","16755","13524","67085800","345098900","278013100"
"213420","덕산네오룩스","46017","53218","7201","1772190000","2049844250","277654250"
"046890","서울반도체","76224","97028","20804","1008921700","1285189300","276267600"
"126700","하이비젼시스템","30498","44249","13751","612044150","885382700","273338550"
"106520","노블엠앤비","175806","240986","65180","903054590","1171941050","268886460"
"019590","엠벤처투자","23380","219930","196550","32001650","299891940","267890290"
"184230","SGA솔루션즈","108553","298893","190340","150028040","416028685","266000645"
"217270","넵튠","9132","22871","13739","178301000","444216450","265915450"
"023410","유진기업","16941","73962","57021","78502280","342846230","264343950"
"090360","로보스타","31325","42550","11225","734331700","997203750","262872050"
"179290","엠아이텍","37413","76923","39510","250718920","512066690","261347770"
"227610","아우딘퓨쳐스","116726","279214","162488","195601625","454570810","258969185"
"262260","에이프로","21894","36339","14445","401849400","660241950","258392550"
"024810","이화전기","34584","235809","201225","44042355","301002995","256960640"
"064800","젬백스링크","197647","361501","163854","306431955","556073950","249641995"
"236810","엔비티","11230","24735","13505","207482300","456301600","248819300"
"103840","우양","29295","75407","46112","158850320","406662580","247812260"
"051360","토비스","13677","39539","25862","130968140","377714570","246746430"
"052400","코나아이","59143","68191","9048","1581504700","1827362550","245857850"
"025550","한국선재","246228","303370","57142","1137272500","1382305030","245032530"
"036540","SFA반도체","122394","160157","37763","795042650","1039979870","244937220"
"297090","씨에스베어링","38360","54947","16587","592406400","834594450","242188050"
"115480","씨유메디칼","95851","296728","200877","114328700","354633810","240305110"
"031330","에스에이엠티","24314","83127","58813","98677475","337578295","238900820"
"226440","한송네오텍","194047","334688","140641","329963805","567740650","237776845"
"115450","HLB테라퓨틱스","50968","66693","15725","746182850","982100950","235918100"
"004590","한국가구","18010","59025","41015","105168770","339200320","234031550"
"042110","에스씨디","132691","252387","119696","257077225","490054275","232977050"
"086450","동국제약","12553","23734","11181","261956600","493252200","231295600"
"208710","바이오로그디바이스","170094","283648","113554","357119990","588236380","231116390"
"102710","이엔에프테크놀로지","23956","31945","7989","665165550","895306400","230140850"
"217600","켐온","31131","120278","89147","79583620","309030065","229446445"
"353810","이지바이오","210663","257355","46692","1065230800","1294005185","228774385"
"039290","인포뱅크","19950","33039","13089","349104800","574690400","225585600"
"038070","서린바이오","7018","20774","13756","113583150","338345350","224762200"
"036890","진성티이씨","11136","35697","24561","102427440","327121030","224693590"
"317240","TS트릴리온","1293936","1461854","167918","1691771040","1915466675","223695635"
"261200","덴티스","3474","28963","25489","30300970","253007150","222706180"
"203650","드림시큐리티","60142","113390","53248","248323240","468349530","220026290"
"061040","알에프텍","5664","46184","40520","30821910","250230340","219408430"
"054620","APS홀딩스","10674","30065","19391","119259650","337975250","218715600"
"101160","월덱스","20224","29433","9209","485394500","703878350","218483850"
"340360","다보링크","5682","136853","131171","9332575","226804835","217472260"
"030530","원익홀딩스","24684","72361","47677","111743055","328728630","216985575"
"020180","대신정보통신","87753","258149","170396","112378740","328916695","216537955"
"089010","켐트로닉스","10512","18683","8171","277828850","493849750","216020900"
"347860","알체라","3894","12684","8790","96119150","312010600","215891450"
"048470","대동스틸","43079","77977","34898","270836200","486544360","215708160"
"078860","아이오케이","25339","210063","184724","29457900","243239060","213781160"
"037370","EG","7661","25312","17651","92059750","303452650","211392900"
"317870","엔바이오니아","5558","21673","16115","71795450","281861650","210066200"
"065440","이루온","62077","164452","102375","126996510","336337345","209340835"
"175250","아이큐어","1833","17996","16163","23497000","231351950","207854950"
"348370","엔켐","16043","18528","2485","1387260400","1593914900","206654500"
"033320","제이씨현시스템","10009","41082","31073","66297350","272332520","206035170"
"041140","넥슨지티","18523","30471","11948","317710650","522086300","204375650"
"086960","한컴MDS","14989","26486","11497","265208350","468650650","203442300"
"080720","한국유니온제약","7299","29740","22441","66845540","269148730","202303190"
"037070","파세코","115064","123301","8237","2135888450","2337469900","201581450"
"086040","바이오톡스텍","23326","48590","25264","187558560","389111130","201552570"
"038530","골드퍼시픽","43028","228705","185677","46594100","245976820","199382720"
"068330","일신바이오","21486","83446","61960","68763825","267077520","198313695"
"096040","이트론","495320","1080970","585650","168555142","366730492","198175350"
"265560","영화테크","5828","17327","11499","101372150","298652450","197280300"
"053080","원방테크","3228","19934","16706","38173800","234883500","196709700"
"382480","지아이텍","3420","13450","10030","66984850","263653350","196668500"
"347770","핌스","21911","29997","8086","529759950","724198700","194438750"
"037950","엘컴텍","252677","384019","131342","382953670","577233670","194280000"
"066910","손오공","28757","115019","86262","63769320","256433540","192664220"
"305090","마이크로디지탈","3046","17428","14382","41164300","233701350","192537050"
"122350","삼기","28901","71782","42881","129511865","321822730","192310865"
"267320","나인테크","40140","99170","59030","131016450","323156770","192140320"
