종목코드,종목명,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금
"060310","3S","2885","2905","20","0.69","13177348","39298879635"
"095570","AJ네트웍스","6520","7840","1320","20.25","2253647","17059523490"
"006840","AK홀딩스","16250","16350","100","0.62","263837","4263082800"
"054620","APS홀딩스","8190","10600","2410","29.43","1935756","18931270460"
"265520","AP시스템","16900","18600","1700","10.06","1532571","26809347800"
"211270","AP위성","11500","11700","200","1.74","6623676","79398574650"
"027410","BGF","4170","4315","145","3.48","2868571","12021720760"
"282330","BGF리테일","189500","172500","-17000","-8.97","807274","146268596000"
"032790","BNGT","4075","4075","0","0.00","0","0"
"138930","BNK금융지주","6630","6810","180","2.71","21546832","142643784806"
"001460","BYC","404500","416000","11500","2.84","2064","853853000"
"001465","BYC우","157000","156000","-1000","-0.64","1365","212689500"
"013720","CBI","1365","1955","590","43.22","50328353","102692876745"
"001040","CJ","77700","80300","2600","3.35","601028","47226474600"
"079160","CJ CGV","21950","21400","-550","-2.51","4699248","98900153600"
"035760","CJ ENM","95800","100800","5000","5.22","1873559","187151042100"
"311690","CJ 바이오사이언스","31450","34650","3200","10.17","434452","14607933400"
"00104K","CJ4우(전환)","70400","71500","1100","1.56","157761","11071737000"
"000120","CJ대한통운","122000","125500","3500","2.87","1114260","130074440000"
"011150","CJ씨푸드","3190","3405","215","6.74","7054419","24041203105"
"011155","CJ씨푸드1우","29750","28550","-1200","-4.03","5054","142095550"
"001045","CJ우","48050","49600","1550","3.23","40952","1971431600"
"097950","CJ제일제당","389000","419500","30500","7.84","969720","392248832000"
"097955","CJ제일제당 우","165500","177000","11500","6.95","30737","5266838000"
"051500","CJ프레시웨이","39150","40400","1250","3.19","1788838","68454157350"
"058820","CMG제약","2620","2855","235","8.97","12378152","33905236465"
"023460","CNH","1795","1935","140","7.80","339775","635750640"
"056730","CNT85","3100","3100","0","0.00","0","0"
"065770","CS","2095","2210","115","5.49","4619727","10324200025"
"083660","CSA 코스믹","1525","1450","-75","-4.92","957164","1400996870"
"000590","CS홀딩스","59400","66500","7100","11.95","231075","15057787100"
"012030","DB","797","832","35","4.39","5318373","4319901381"
"404950","DB금융스팩10호","2100","2095","-5","-0.24","229012","483322700"
"367340","DB금융스팩8호","2135","2130","-5","-0.23","249157","528821720"
"367360","DB금융스팩9호","2155","2125","-30","-1.39","197265","417593585"
"016610","DB금융투자","5020","5240","220","4.38","672040","3373775760"
"005830","DB손해보험","58200","62800","4600","7.90","3206870","197272586855"
"000990","DB하이텍","49000","42900","-6100","-12.45","20486546","888841136450"
"000995","DB하이텍1우","93700","71100","-22600","-24.12","8669","703823900"
"139130","DGB금융지주","7790","7580","-210","-2.70","7807153","59344978800"
"001530","DI동일","16100","19900","3800","23.60","2038467","36041305250"
"000210","DL","67300","68000","700","1.04","2706537","179796666500"
"001880","DL건설","20750","21950","1200","5.78","447809","9542362800"
"000215","DL우","39100","39750","650","1.66","41599","1641498200"
