종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"066970","엘앤에프","112783","218083","105300","21561934300","41688602900","20126668600"
"053050","지에스이","3427709","5148191","1720482","20581732670","30530834790","9949102120"
"112040","위메이드","138748","233464","94716","14093484000","23671153600","9577669600"
"106240","파인테크닉스","652390","1019146","366756","8660689650","13533755450","4873065800"
"005290","동진쎄미켐","61498","196054","134556","2067474150","6588549750","4521075600"
"096530","씨젠","199671","288242","88571","10067414900","14541815700","4474400800"
"247540","에코프로비엠","43375","55966","12591","14989735800","19309508600","4319772800"
"048410","현대바이오","410614","546499","135885","13017925850","17311621350","4293695500"
"108320","LX세미콘","20252","52792","32540","2283092000","5929635700","3646543700"
"051370","인터플렉스","255545","455476","199931","4544561050","8049981250","3505420200"
"376300","디어유","63936","124996","61060","3055088650","5975329700","2920241050"
"035080","인터파크","1024504","1450797","426293","6398876980","9023665170","2624788190"
"278280","천보","14726","22762","8036","4190884800","6502794600","2311909800"
"078340","컴투스","41873","62674","20801","4563794100","6833409100","2269615000"
"272290","이녹스첨단소재","39357","89399","50042","1668534050","3777655200","2109121150"
"067310","하나마이크론","84549","196823","112274","1540098100","3578696000","2038597900"
"041510","에스엠","159414","186037","26623","11346987600","13250163100","1903175500"
"024740","한일단조","1715958","2261105","545147","5633317430","7397314140","1763996710"
"253450","스튜디오드래곤","19770","39990","20220","1711515200","3457501400","1745986200"
"027710","팜스토리","7985372","8668677","683305","21554771760","23246662435","1691890675"
"299900","위지윅스튜디오","86202","134950","48748","2853180850","4461527750","1608346900"
"222800","심텍","202704","235781","33077","9763675950","11329682550","1566006600"
"142760","바이오리더스","281380","444911","163531","2753733490","4314644070","1560910580"
"033310","엠투엔","166199","388570","222371","1041294140","2441247060","1399952920"
"037950","엘컴텍","914034","1762210","848176","1433771810","2766377990","1332606180"
"240810","원익IPS","59529","93967","34438","2247131550","3545639200","1298507650"
"237880","클리오","43705","96729","53024","1051485700","2320863300","1269377600"
"024060","흥구석유","1077537","1246287","168750","9033970250","10301651940","1267681690"
"086520","에코프로","68151","83923","15772","5042852800","6201550000","1158697200"
"091120","이엠텍","66800","93978","27178","2834503000","3967312600","1132809600"
"205470","휴마시스","478067","533485","55418","10268510950","11377720800","1109209850"
"348370","엔켐","21528","32801","11273","2081480100","3147786800","1066306700"
"058470","리노공업","18539","24162","5623","3228101800","4206673900","978572100"
"189300","인텔리안테크","12563","24819","12256","993291300","1963025800","969734500"
"218150","미래생명자원","2574555","2722799","148244","18505555260","19466013030","960457770"
"214150","클래시스","178191","229028","50837","3340498300","4247522350","907024050"
"056090","유앤아이","36512","69157","32645","900223250","1805382800","905159550"
"101730","위메이드맥스","134619","169088","34469","3596394800","4496808250","900413450"
"276730","제주맥주","945580","1206416","260836","2914906615","3714678055","799771440"
"016790","현대사료","49962","92638","42676","854563350","1579906600","725343250"
"263020","디케이앤디","60883","222054","161171","262780700","953945330","691164630"
"311390","네오크레마","25599","57934","32335","520498050","1195408300","674910250"
"160550","NEW","35359","101146","65787","363900100","1030571650","666671550"
"298380","에이비엘바이오","115265","141432","26167","2909800100","3569876400","660076300"
"056190","에스에프에이","39707","56902","17195","1526557800","2181880550","655322750"
"067630","HLB생명과학","62378","125647","63269","638602800","1288145950","649543150"
"104200","NHN벅스","170947","214557","43610","2530454150","3158769600","628315450"
"078350","한양디지텍","73891","114974","41083","1045885700","1634136950","588251250"
"098460","고영","62437","93218","30781","1162090250","1737311700","575221450"
"241710","코스메카코리아","19024","51841","32817","307904800","843670200","535765400"
"033170","시그네틱스","1269491","1491939","222448","3040042470","3542020190","501977720"
"091700","파트론","105578","148283","42705","1207362050","1696281550","488919500"
"039200","오스코텍","31112","47340","16228","924946200","1406989600","482043400"
"353810","이지바이오","308123","410424","102301","1442812625","1919107600","476294975"
"081150","티플랙스","985510","1079028","93518","4560191070","5036260090","476069020"
"080160","모두투어","32827","52412","19585","795390500","1269025700","473635200"
"291230","엔피","48441","99433","50992","443430190","907812860","464382670"
"079370","제우스","10207","28545","18338","260507300","724149750","463642450"
"095700","제넥신","18700","28923","10223","842188450","1299913950","457725500"
"179290","엠아이텍","117229","183046","65817","811151710","1268512220","457360510"
"293780","압타바이오","47903","67648","19745","1121767300","1576497650","454730350"
"128660","피제이메탈","815992","895208","79216","4826717920","5280452470","453734550"
"206650","유바이오로직스","107375","124352","16977","2547578500","2961321050","413742550"
"148150","세경하이테크","30509","47225","16716","733670800","1135350800","401680000"
"119610","인터로조","7158","20120","12962","220732450","616796400","396063950"
"347770","핌스","34764","50949","16185","831479550","1212253300","380773750"
"090460","비에이치","65275","85387","20112","1245812850","1623371900","377559050"
"103840","우양","42999","110536","67537","237694420","611431040","373736620"
"051360","토비스","63436","99524","36088","631151410","990955400","359803990"
"074600","원익QnC","41525","55505","13980","1063255950","1418302850","355046900"
"030190","NICE평가정보","13095","31529","18434","241887550","582287250","340399700"
"000440","중앙에너비스","509235","525020","15785","13217344550","13548908500","331563950"
"084370","유진테크","40751","48258","7507","1791398094","2121405844","330007750"
"039030","이오테크닉스","11119","14371","3252","1123969300","1451961700","327992400"
"084990","헬릭스미스","15345","32530","17185","283450750","601092900","317642150"
"083650","비에이치아이","65076","137439","72363","286278315","601337185","315058870"
"228670","레이","8445","21984","13539","188696550","491631750","302935200"
"067990","도이치모터스","123160","157847","34687","1044127920","1335545630","291417710"
"289220","자이언트스텝","35447","42210","6763","1521655550","1811343450","289687900"
"108860","셀바스AI","139582","178511","38929","1069055910","1353112290","284056380"
"061250","화일약품","84107","194516","110409","215279500","496826925","281547425"
"023900","풍국주정","10203","26730","16527","174797550","455132900","280335350"
"141080","레고켐바이오","32043","38563","6520","1349168100","1627288950","278120850"
"164060","이루다","25285","48162","22877","307738000","577154300","269416300"
"137400","피엔티","51987","58492","6505","2069563300","2336917250","267353950"
"097870","효성오앤비","587943","616751","28808","5450486380","5717136220","266649840"
"181340","이즈미디어","16497","38701","22204","193306800","454454850","261148050"
"060240","룽투코리아","98800","142434","43634","596423840","854888060","258464220"
"060250","NHN한국사이버결제","63597","74415","10818","1511328500","1768537350","257208850"
"049830","승일","39061","55004","15943","618905000","874205050","255300050"
"183490","엔지켐생명과학","88480","96794","8314","2829808650","3077915450","248106800"
"031980","피에스케이홀딩스","45692","62191","16499","682916450","924905700","241989250"
"252500","세화피앤씨","138953","276151","137198","241656240","477748315","236092075"
"322310","오로스테크놀로지","3191","13385","10194","72280200","302493450","230213250"
"027050","코리아나","44306","100767","56461","181474800","411430390","229955590"
"086900","메디톡스","4473","6429","1956","521531500","749360500","227829000"
"096610","알에프세미","28333","75217","46884","137792330","361177315","223384985"
"073110","엘엠에스","19971","43393","23422","186785410","405524270","218738860"
"330860","네패스아크","12051","17058","5007","533828650","749090400","215261750"
"084650","랩지노믹스","27920","37478","9558","636398650","850552600","214153950"
"086450","동국제약","6565","17140","10575","133172300","346593050","213420750"
"230980","에이트원","61015","188390","127375","99620725","312207605","212586880"
"082270","젬백스","23440","37612","14172","357735000","568623450","210888450"
"204620","글로벌텍스프리","24339","84927","60588","82222685","285805665","203582980"
"154030","아시아종묘","30731","66563","35832","172348250","375409650","203061400"
"225590","패션플랫폼","217004","314524","97520","459368130","660426415","201058285"
"353590","오토앤","134290","147580","13290","1973901000","2174399200","200498200"
"123420","선데이토즈","21566","29744","8178","537793100","736181200","198388100"
"124500","아이티센","86650","127770","41120","415759425","613632890","197873465"
"052400","코나아이","17847","25926","8079","433925600","631653300","197727700"
"200350","래몽래인","8095","19317","11222","143560000","339660350","196100350"
"294570","쿠콘","8556","12230","3674","437692100","623749100","186057000"
"092040","아미코젠","13433","20799","7366","339080550","524793550","185713000"
"192250","케이사인","197152","274398","77246","483493430","668184355","184690925"
"079940","가비아","42909","57639","14730","545849250","730310050","184460800"
"166090","하나머티리얼즈","47114","50660","3546","2461898700","2644515100","182616400"
"033500","동성화인텍","12972","30332","17360","131237830","307823700","176585870"
"241790","오션브릿지","85787","97697","11910","1296437100","1472044850","175607750"
"199800","툴젠","1182","4547","3365","61004000","232709400","171705400"
"000250","삼천당제약","14175","18968","4793","496017300","664277450","168260150"
"183300","코미코","4566","7825","3259","234799400","402853300","168053900"
"243840","신흥에스이씨","3772","6896","3124","203131700","370706800","167575100"
"306620","네온테크","290537","335391","44854","1206667315","1373032700","166365385"
"037070","파세코","18875","25667","6792","450480500","611732100","161251600"
"177830","파버나인","173761","203944","30183","875646650","1029317350","153670700"
"100090","삼강엠앤티","38039","47596","9557","621984900","775010300","153025400"
"053450","세코닉스","25640","41025","15385","251624790","403071780","151446990"
"150840","인트로메딕","383780","412514","28734","2161145050","2311822380","150677330"
"080420","모다이노칩","76380","109130","32750","355388860","501440535","146051675"
