종목코드,종목명,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금
"060310","3S","2885","2905","20","0.69","13177836","39300297225"
"095570","AJ네트웍스","6520","7840","1320","20.25","2253726","17060143290"
"006840","AK홀딩스","16250","16350","100","0.62","264059","4266712500"
"054620","APS홀딩스","8190","10450","2260","27.59","1935862","18932382560"
"265520","AP시스템","16900","18550","1650","9.76","1540303","26953168000"
"211270","AP위성","11500","11750","250","2.17","6624616","79409609450"
"027410","BGF","4170","4315","145","3.48","2868598","12021837270"
"282330","BGF리테일","189500","172500","-17000","-8.97","807710","146343809000"
"032790","BNGT","4075","4075","0","0.00","0","0"
"138930","BNK금융지주","6630","6800","170","2.56","21579163","142863944376"
"001460","BYC","404500","416000","11500","2.84","2064","853853000"
"001465","BYC우","157000","156000","-1000","-0.64","1365","212689500"
"013720","CBI","1365","1965","600","43.96","50335337","102706547100"
"001040","CJ","77700","80100","2400","3.09","601236","47243137500"
"079160","CJ CGV","21950","21350","-600","-2.73","4700635","98929823150"
"035760","CJ ENM","95800","100900","5100","5.32","1874234","187219088800"
"311690","CJ 바이오사이언스","31450","34700","3250","10.33","434456","14608071850"
"00104K","CJ4우(전환)","70400","71500","1100","1.56","157761","11071737000"
"000120","CJ대한통운","122000","125500","3500","2.87","1114537","130109303000"
"011150","CJ씨푸드","3190","3405","215","6.74","7054874","24042752380"
"011155","CJ씨푸드1우","29750","28550","-1200","-4.03","5054","142095550"
"001045","CJ우","48050","49600","1550","3.23","41107","1979119600"
"097950","CJ제일제당","389000","419000","30000","7.71","970086","392402224500"
"097955","CJ제일제당 우","165500","176500","11000","6.65","30769","5272486000"
"051500","CJ프레시웨이","39150","40300","1150","2.94","1792396","68597285500"
"058820","CMG제약","2620","2855","235","8.97","12379849","33910077915"
"023460","CNH","1795","1935","140","7.80","339775","635750640"
"056730","CNT85","3100","3100","0","0.00","0","0"
"065770","CS","2095","2215","120","5.73","4619929","10324647455"
"083660","CSA 코스믹","1525","1435","-90","-5.90","957365","1401285400"
"000590","CS홀딩스","59400","66400","7000","11.78","231076","15057853500"
"012030","DB","797","832","35","4.39","5321464","4322473127"
"404950","DB금융스팩10호","2100","2095","-5","-0.24","229014","483326905"
"367340","DB금융스팩8호","2135","2130","-5","-0.23","249157","528821720"
"367360","DB금융스팩9호","2155","2125","-30","-1.39","197265","417593585"
"016610","DB금융투자","5020","5240","220","4.38","672040","3373775760"
"005830","DB손해보험","58200","62800","4600","7.90","3207276","197298058455"
"000990","DB하이텍","49000","42950","-6050","-12.35","20487983","888902801000"
"000995","DB하이텍1우","93700","71100","-22600","-24.12","8669","703823900"
"139130","DGB금융지주","7790","7600","-190","-2.44","7817403","59422766580"
"001530","DI동일","16100","19900","3800","23.60","2039329","36058460100"
"000210","DL","67300","68500","1200","1.78","2712859","180228479200"
"001880","DL건설","20750","21950","1200","5.78","447958","9545634250"
"000215","DL우","39100","39800","700","1.79","41601","1641577800"
"375500","DL이앤씨","40250","44000","3750","9.32","4783461","193734449500"
"37550L","DL이앤씨2우(전환)","34250","34950","700","2.04","47013","1600570450"
"37550K","DL이앤씨우","28550","29900","1350","4.73","68412","1969161650"
"068790","DMS","5050","5590","540","10.69","1201203","6451688955"
"007340","DN오토모티브","53000","56000","3000","5.66","411587","21955258650"
"004840","DRB동일","4520","4615","95","2.10","270613","1231854980"
"241520","DSC인베스트먼트","4180","4640","460","11.00","6333699","29010170450"
"155660","DSR","5400","6150","750","13.89","1674609","9566487650"
"069730","DSR제강","4795","5360","565","11.78","1245068","6228753785"
"017940","E1","44950","45100","150","0.33","188778","8316612400"
"245620","EDGC","3280","2845","-435","-13.26","44152119","150264143375"
"037370","EG","9200","10550","1350","14.67","805195","7955725360"
"278990","EMB","5490","5990","500","9.11","17863","90538320"
"365550","ESR켄달스퀘어리츠","5460","5530","70","1.28","5017996","26377141814"
"050120","ES큐브","3900","3840","-60","-1.54","786736","3069475895"
"084180","EV수성","1525","1375","-150","-9.84","22198626","32980414925"
"383220","F&F","138000","156500","18500","13.41","2722586","407203915000"
"007700","F&F홀딩스","18800","19850","1050","5.59","795556","15542322400"
"214270","FSN","4420","5050","630","14.25","21216456","111279058110"
"130500","GH신소재","4910","4955","45","0.92","30713118","171286260795"
"114090","GKL","13950","15000","1050","7.53","5024763","71212482900"
"900290","GRT","1240","1300","60","4.84","2698047","3443414950"
"078930","GS","39650","42800","3150","7.94","3839489","154649317400"
"083450","GST","21750","21800","50","0.23","1598689","35049815000"
"006360","GS건설","29550","32000","2450","8.29","15673610","462471346450"
"001250","GS글로벌","3240","3900","660","20.37","229914232","842535559495"
"007070","GS리테일","25500","25700","200","0.78","4902886","120573127100"
"078935","GS우","34550","35050","500","1.45","59451","2034040000"
"297890","HB솔루션","13100","13600","500","3.82","1159007","15437784400"
"078150","HB테크놀러지","1865","2030","165","8.85","13783394","27851370615"
"012630","HDC","6540","6950","410","6.27","1232166","8254322920"
"039570","HDC랩스","8460","8810","350","4.14","890109","8271685980"
"089470","HDC현대EP","3865","4250","385","9.96","435711","1763662170"
"294870","HDC현대산업개발","11450","13100","1650","14.41","6961384","82938372700"
"267250","HD현대","52900","58300","5400","10.21","3179734","171887836350"
"097230","HJ중공업","6800","6870","70","1.03","279158","1900593420"
"195940","HK이노엔","40150","43800","3650","9.09","12458170","531287454050"
"028300","HLB","40300","47750","7450","18.49","26071958","1143570468600"
"003580","HLB글로벌","10100","9680","-420","-4.16","13465440","131725318350"
"343090","HLB사이언스","4100","4180","80","1.95","320386","1244809835"
"067630","HLB생명과학","13000","14250","1250","9.62","26078979","348258027900"
"047920","HLB제약","15650","16550","900","5.75","7832322","119604998650"
"115450","HLB테라퓨틱스","13400","12100","-1300","-9.70","5134272","64163049300"
"011200","HMM","25100","25200","100","0.40","39477767","956470727700"
"036640","HRS","6190","6730","540","8.72","2680350","16963176220"
"082740","HSD엔진","7298","8690","1392","19.07","9071566","80548129080"
"335870","IBKS제12호스팩","2460","2885","425","17.28","6092158","15363889685"
"351340","IBKS제13호스팩","2030","2020","-10","-0.49","1339590","2762906440"
"388790","IBKS제16호스팩","2225","2225","0","0.00","0","0"
"405350","IBKS제17호스팩","2280","2270","-10","-0.44","458966","1052115535"
"003560","IHQ","719","727","8","1.11","11359504","8565334931"
"095340","ISC","32550","31450","-1100","-3.38","4493218","148292342450"
"099520","ITX-AI","1285","1285","0","0.00","0","0"
"175330","JB금융지주","7130","7370","240","3.37","5819704","42453104220"
"950170","JTC","2845","2695","-150","-5.27","658794","1773222240"
"234080","JW생명과학","13350","13700","350","2.62","271302","3691598000"
"067290","JW신약","3845","4140","295","7.67","8716246","35800346970"
"001060","JW중외제약","24050","23050","-1000","-4.16","1744942","42547898000"
"001067","JW중외제약2우B","70300","70500","200","0.28","2852","202825700"
"001065","JW중외제약우","36600","36550","-50","-0.14","5644","203467550"
"096760","JW홀딩스","3360","3465","105","3.13","707101","2444308695"
"035900","JYP Ent.","53400","57700","4300","8.05","8272153","463504721600"
"318000","KBG","5930","6630","700","11.80","1030952","6448562090"
"024840","KBI메탈","1715","1835","120","7.00","2627695","4730403435"
"105560","KB금융","47000","51300","4300","9.15","25560364","1214843554251"
"024120","KB오토시스","5620","5470","-150","-2.67","1318245","7139320200"
"002380","KCC","287500","306500","19000","6.61","773088","225618946000"
"021320","KCC건설","6870","7260","390","5.68","422719","2904327200"
"344820","KCC글라스","44800","49400","4600","10.27","494574","22803696700"
"036670","KCI","8190","8890","700","8.55","209919","1806397670"
"009070","KCTC","4460","5180","720","16.14","8301389","43674474240"
"009440","KC그린홀딩스","5020","4950","-70","-1.39","2667561","13058771400"
"112190","KC산업","3420","3695","275","8.04","15758","53561315"
"119650","KC코트렐","4230","4620","390","9.22","1189764","5274784220"
"044180","KD","1035","1075","40","3.86","1594172","1629817475"
"092220","KEC","2545","2730","185","7.27","44116617","119288307330"
"151860","KG ETS","15850","15700","-150","-0.95","27284944","418973226950"
"046440","KG모빌리언스","7130","7300","170","2.38","3764273","26304474710"
"016380","KG스틸","13150","12650","-500","-3.80","14617525","181976098750"
"035600","KG이니시스","13700","14150","450","3.28","2478181","33964060950"
"001390","KG케미칼","26100","29100","3000","11.49","7654410","216881717250"
"226360","KH 건설","919","868","-51","-5.55","171574343","151970374549"
"111870","KH 전자","753","816","63","8.37","34546828","26662534471"
"033180","KH 필룩스","1525","1515","-10","-0.66","17066882","25274876800"
"060720","KH바텍","18200","19550","1350","7.42","4505588","90754864300"
"001940","KISCO홀딩스","14050","14250","200","1.42","409115","5713995850"
"058400","KNN","1010","1070","60","5.94","7207328","7517711034"
"114450","KPX생명과학","5280","5590","310","5.87","26525485","170875886750"
"025000","KPX케미칼","47950","51300","3350","6.99","49775","2463250500"
"092230","KPX홀딩스","59600","60500","900","1.51","15296","913980600"
"000040","KR모터스","633","717","84","13.27","57436096","44577416631"
"044450","KSS해운","9650","10950","1300","13.47","687488","6888911130"
"030200","KT","36650","38350","1700","4.64","16065307","603057777975"
"033780","KT&G","80700","81000","300","0.37","5092633","414466958400"
"058850","KTcs","2015","2395","380","18.86","19628484","45167125925"
"058860","KTis","2595","2815","220","8.48","7388702","19826742650"
"060370","KT서브마린","6450","6980","530","8.22","13931781","94876970100"
"122450","KX","7690","7860","170","2.21","984070","7498787390"
"052900","KX하이텍","1380","1500","120","8.70","10257928","15317221960"
"093050","LF","16150","17000","850","5.26","947916","15711126900"
"003550","LG","78400","81800","3400","4.34","3570979","281286401200"
"034220","LG디스플레이","15250","16500","1250","8.20","28478141","435311342050"
"051900","LG생활건강","714000","740000","26000","3.64","1245087","923968934271"
"051905","LG생활건강우","330500","363500","33000","9.98","109367","38339071000"
"373220","LG에너지솔루션","388000","468500","80500","20.75","12435265","5094887854000"
"003555","LG우","61400","62800","1400","2.28","40658","2505399100"
"032640","LG유플러스","12300","12600","300","2.44","15676172","193394918858"
"011070","LG이노텍","338000","342000","4000","1.18","4877835","1681241304500"
"066570","LG전자","92000","96800","4800","5.22","13323779","1242455975900"
"066575","LG전자우","44800","47150","2350","5.25","397932","18189538200"
"037560","LG헬로비전","5610","5480","-130","-2.32","12399241","70106378690"
"051910","LG화학","540000","668000","128000","23.70","6111773","3549642207491"
