종목코드,종목명,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금
"060310","3S","2885","2905","20","0.69","13176357","39296000790"
"095570","AJ네트웍스","6520","7860","1340","20.55","2253276","17056610560"
"006840","AK홀딩스","16250","16350","100","0.62","263697","4260788700"
"054620","APS홀딩스","8190","10650","2460","30.04","1931828","18890211810"
"265520","AP시스템","16900","18600","1700","10.06","1531659","26792368000"
"211270","AP위성","11500","11800","300","2.61","6619232","79346358150"
"027410","BGF","4170","4310","140","3.36","2866246","12011698795"
"282330","BGF리테일","189500","173000","-16500","-8.71","807012","146223272500"
"032790","BNGT","4075","4075","0","0.00","0","0"
"138930","BNK금융지주","6630","6830","200","3.02","21521324","142469867446"
"001460","BYC","404500","416000","11500","2.84","2064","853853000"
"001465","BYC우","157000","156000","-1000","-0.64","1365","212689500"
"013720","CBI","1365","1945","580","42.49","50307524","102652263580"
"001040","CJ","77700","80200","2500","3.22","600558","47188788700"
"079160","CJ CGV","21950","21400","-550","-2.51","4697255","98857549000"
"035760","CJ ENM","95800","101000","5200","5.43","1871423","186935650000"
"311690","CJ 바이오사이언스","31450","34600","3150","10.02","434179","14598494350"
"00104K","CJ4우(전환)","70400","71500","1100","1.56","157759","11071594000"
"000120","CJ대한통운","122000","127000","5000","4.10","1112248","129820940500"
"011150","CJ씨푸드","3190","3405","215","6.74","7052179","24033573160"
"011155","CJ씨푸드1우","29750","28550","-1200","-4.03","5054","142095550"
"001045","CJ우","48050","49650","1600","3.33","40871","1967410750"
"097950","CJ제일제당","389000","419000","30000","7.71","968993","391944157500"
"097955","CJ제일제당 우","165500","177000","11500","6.95","30736","5266661000"
"051500","CJ프레시웨이","39150","41400","2250","5.75","1783783","68247839850"
"058820","CMG제약","2620","2855","235","8.97","12373612","33892274440"
"023460","CNH","1795","1945","150","8.36","339560","635332615"
"056730","CNT85","3100","3100","0","0.00","0","0"
"065770","CS","2095","2220","125","5.97","4619678","10324091735"
"083660","CSA 코스믹","1525","1450","-75","-4.92","957162","1400993970"
"000590","CS홀딩스","59400","66200","6800","11.45","231036","15055205300"
"012030","DB","797","833","36","4.52","5318210","4319765674"
"404950","DB금융스팩10호","2100","2110","10","0.48","229011","483320605"
"367340","DB금융스팩8호","2135","2130","-5","-0.23","249157","528821720"
"367360","DB금융스팩9호","2155","2125","-30","-1.39","197265","417593585"
"016610","DB금융투자","5020","5230","210","4.18","671979","3373456120"
"005830","DB손해보험","58200","62800","4600","7.90","3205898","197211522555"
"000990","DB하이텍","49000","42900","-6100","-12.45","20479203","888526242200"
"000995","DB하이텍1우","93700","71100","-22600","-24.12","8669","703823900"
"139130","DGB금융지주","7790","7590","-200","-2.57","7802770","59311749130"
"001530","DI동일","16100","19900","3800","23.60","2037092","36013934000"
"000210","DL","67300","67700","400","0.59","2703313","179578106400"
"001880","DL건설","20750","22000","1250","6.02","447420","9533816650"
"000215","DL우","39100","39650","550","1.41","41589","1641100950"
"375500","DL이앤씨","40250","43900","3650","9.07","4776898","193445887500"
"37550L","DL이앤씨2우(전환)","34250","34950","700","2.04","46897","1596516250"
"37550K","DL이앤씨우","28550","29700","1150","4.03","68380","1968205350"
"068790","DMS","5050","5590","540","10.69","1201123","6451241965"
"007340","DN오토모티브","53000","56000","3000","5.66","411049","21925136350"
"004840","DRB동일","4520","4620","100","2.21","270375","1230758810"
"241520","DSC인베스트먼트","4180","4640","460","11.00","6328891","28987881935"
"155660","DSR","5400","6140","740","13.70","1672332","9552512820"
"069730","DSR제강","4795","5360","565","11.78","1242875","6217006375"
"017940","E1","44950","45100","150","0.33","188652","8310927800"
"245620","EDGC","3280","2855","-425","-12.96","44102229","150122425495"
"037370","EG","9200","10550","1350","14.67","803715","7940169560"
"278990","EMB","5490","5600","110","2.00","17852","90474330"
"365550","ESR켄달스퀘어리츠","5460","5530","70","1.28","5015105","26361177034"
